sujeto_pasivo,fecha,duracion_minutos,lugar,materia,asistentes,representado
"Aravena Acuña, Carmen Gloria",2018-08-06,30,Senado Santiago,"Analizar la difusión del proyecto Santuario de la Naturaleza Cuenca Lago Tinquilco, presentado por el comité en enero de 2018 al Ministerio de Medio Ambiente para su evaluación.","Stefoni, Rodrigo; Valladares, Juan; Cepeda, Alonso",Comité de Protección y Desarrollo Sustentable de Tinquilco
"Aravena Acuña, Carmen Gloria",2018-08-06,30,Senado Santiago,Recibir al Comité de Protección y Desarrollo Sustentable de Tinquilco para escuchar sobre el proyecto Santuario Naturaleza Cuenca Lago presentado por la agrupación al Ministerio de Medio Ambiente en enero 2018.,"Stefoni, Rodrigo; Valladares, Juan; Cepeda, Alonso",Comité de Protección y Desarrollo Sustentable de Tinquilco
"Aravena Acuña, Carmen Gloria",2018-08-06,35,Senado Santiago,Analizar aplicación de impuesto verde e impactos en la agroindustria.,"Schlesinger, Denise; González Galdames, Guillermo; Descourvières G., Carlos; Fernández Alemany, Andrés; Mira V., Juan Manuel; Dorfman, Natalio; Alt Hayal, Marcela",ASOCIACION DE EMPRESAS DE ALIMENTOS DE CHILE A G
"Aravena Acuña, Carmen Gloria",2018-08-06,35,Senado Santiago,Análisis de aplicación de impuesto verde e impactos en la agroindustria.,"Schlesinger, Denise; González Galdames, Guillermo; Descourvières G., Carlos; Fernández Alemany, Andrés; Mira V., Juan Manuel; Dorfman, Natalio; Alt Hayal, Marcela",ASOCIACION DE EMPRESAS DE ALIMENTOS DE CHILE A G
"Harboe Bascuñán, Felipe",2018-08-06,30,Senado Santiago (Morandé 441),"Soy Coordinador de Agrupación de ATES (Asistencia Técnica Educativa) y actualmente somos parte de un problema Mayor, ya que las ATES que no hemos hecho conversión a Entidades Sin Fines de Lucro (600 a 800 aprox) no podemos realizar nuestro trabajo de acompañamiento a las Escuelas, generando un problema mayor de discontinuidad y desde luego de intermitencia laboral de nuestros equipos de trabajo. Queremos exponerle a través de mi persona nuestro problema y las salidas legislativas que visualizamos, para que tenga el antecedente de primera fuente, cuando tenga que votar. Lunes 06 de agosto a las 11:30 horas, Senado Santiago. SOLICITANTE NO ASISTE. REUNIÓN FUE CANCELADA","gutierrez, marco",Agrupacion de ATEs
"Harboe Bascuñán, Felipe",2018-08-06,30,Senado Santiago (MorandÃ© 441),"Ciberseguridad. Lunes 06 de agosto a las 10:30 horas, Senado Santiago","Monreal, Ricardo; Bachmann, Katherine; Escobar, Jose Luis",Fundación de Investigación en Seguridad Informática
"Quinteros Lara, Rabindranath",2018-08-06,20,Oficinas Senado,Exponen posición sobre dictamen de la Contraloría General de la República y propuesta de modificación del Código Sanitario.,"Roman Morra, Anita",Colegio de Matronas A.G.
"Durana Semir, Jose Miguel",2018-08-04,20,Lastarria N°1569,Solicita gestiones con Aduana,"Guillen Olivares, Jorge",IMPORTACIONES TRANSPORTE
"Elizalde Soto, Alvaro",2018-08-03,60,oficina ex Congreso en Santiago,"Ley de plantas de los funcionarios de Indap, situación de agricultores de la VII región, políticas cambio ley orgánica.","Lopez, Veronica; Carrera, Mauricio",ANFI NACIONAL
"Guillier Álvarez, Alejandro",2018-08-03,60,Ex Congreso Nacional,Estatuto laboral de jóvenes,"Tejo, Victor; Gomez, Roberto",Roberto Gómez
"Elizalde Soto, Alvaro",2018-08-03,90,oficina ex Congreso en Santiago,"Manifestar el rechazo al proyecto de ley del  estatuto laboral para jóvenes de la educación superior

Plantear la forma o modalidad para   que a los trabajadores del comercio que al generar el cambio de los productos comprados por internet, reciban también una comisión por el trabajo realizado en esa compra.","Ortega, Macarena; Sagardias, Claudio; Tejo, Victor; Gomez, Roberto; valdes, Hector; Perez, Sergio",CONATRACOPS
"Galilea Vial, Rodrigo",2018-08-03,40,"Oficina Parlamentaria Talca, 2 Poniente 920",Transporte de la ciudad de Talca,"de la fuente vergara, jaime; araya roa, luis; bravo muñoz, osvaldo; contreras alarcón, adolfo",FEDERACIÓN DE TRANSPORTE DE PASAJEROS DE LA REGIÓN DEL MAULE
"Provoste Campillay, Yasna",2018-08-02,30,Congreso Nacional,Presentación del Proyecto Minero Norte Abierto en la Región de Atacama,"Muñoz, Carlos; Saavedra, Cristian",Extracción de otros Minerales Metálicos
"Quinteros Lara, Rabindranath",2018-08-02,20,Oficinas Senado,"Exponen situación pendientes en materia de reparación de exonerados, y específicamente, situación de ex trabajadores de Hacienda Rupanco.","Araya Sanhueza, Zaida; Martínez Wilson, Fernando; Cerda Sepulveda, Guadalupe; Rios Jara, Pedro",Comando Exonerados de Chile A.G
"Pugh Olavarría, Kenneth",2018-08-02,30,OFICINA SENADO,Saludos y presentación personal,"Aste Martinez, Francisco Alfredo",Francisco Aste
"Pugh Olavarría, Kenneth",2018-08-02,30,OFICINA SENADO,Temáticas del Turismo en la V Región,"Castillo Rogers, Veronica Margarita",Hoteles de Valparaíso Asociación Gremial
"Aravena Acuña, Carmen Gloria",2018-08-01,25,Senado Valparaiso,Ley corta de Pesca,"Machuca, Hernan; Vargas, Sergio Carrillo; Olivares Machuca, Patricio; Pulquillanco, Cesar",Siarpesca Queule
"Provoste Campillay, Yasna",2018-08-01,30,Congreso Nacional,Proyecto de Ley de Incentivo al Retiro para Funcionarios Municipales,"Contreras Higuera, Jonnhy; Pastene Azola, Jose Eduardo; Pacheco Pinto, Maria Yolanda",Unión de Funcionarios Municipales de Chile
"Moreira Barros, Iván",2018-08-01,40,OFICINA DEL SENADO,Plantear Ruta Metropolitana y obras de Ejecución de Chiloe,"Galassi Castillo, Jose Luis",RYQ INGENIERIA S.A.
"Angelbeck Silva, Robert Patrick",2018-07-31,30,Oficina Parlamentaria,"Proyecto de ley que otorga beneficios de incentivo al retiro para funcionarios municipales, Boletín N° 11.570-06","Pastene Azola, Jose Eduardo; Olate Jara, Jaime; BASTARRICA SILVA, FERNANDO; Zúñiga Rojas, Pedro Francisco; Pacheco Pinto, Maria Yolanda; Contreras Higuera, Jonnhy; GAJARDO ALTAMIRANO, CHRISTIAN",UNION DE FUNCIONARIOS MUNICIPALES DE CHILE (UFEMUCH)
"Quinteros Lara, Rabindranath",2018-07-31,20,oficinas Senado,Exponer sobre políticas de innovación de la empresa,"Mazo Cavieres, Pilar",Industria Farmacéutica
"Insulza Salinas, Jose Miguel",2018-07-31,20,of senador Valpo,Acompaña a padres de hijos y adolescentes transgénero,"AMENABAR, MARIA JOSE; Rodriguez, Eduardo",Fundación Renaciendo
"Aravena Acuña, Carmen Gloria",2018-07-31,40,Senado Valparaiso,Analizar proyecto de ley de co propienda inmobiliaria y propuesta de creación de superintendencia de condominios.,"López Muñoz, David Fernando",Ktipio Administraciones SpA
"Ferrada Henríquez, Rafael Alejandro",2018-07-31,60, Congreso Nacional,"Subcontratación 
Gestionar reunión con Ministra de Energía y Solicitar Audiencia a Comisión de MInería.-","Bravo Aguayo, Fernando; Carrasco Rodríguez, Manuel; , ; , ; ,",Sindicato Nacional de Profesionales de CGE Norte
"Prohens Espinosa, Rafael",2018-07-31,45,"Congreso Nacional, Piso 10",Los solicitantes no se presentaron el día y hora agendada por el Senador.,"AMENABAR, MARIA JOSE; Rodriguez, Eduardo",Fundación Renaciendo
"De Urresti Longton, Alfonso",2018-07-30,0,Oficina del senador en el ex Congreso Nacional,Sobre discusión y eventual ratificación de diversos tratados comerciales por parte de Chile.,"Bejar, Patricio; Muñoz Araya, Dayana",Chile Mejor sin TLC
"Aravena Acuña, Carmen Gloria",2018-07-30,20,Senado Santiago,Junaeb,"Toha lavanderos, Jaime",Junaeb
"Harboe Bascuñán, Felipe",2018-07-30,30,Senado Santiago (MorandÃ© 441),"Ciberseguridad. Lunes 30 de julio a las 12:00 horas, Senado Santiago.","Froimovich, ANDREA; Cahn, Alvaro; Higuera, Luis Fernando",AON RISK SERVICES (CHILE) CORREDORES DE SEGUROS LTDA
"Pizarro Soto, Jorge",2018-07-30,30,MORANDE 441. EX CONGRESO,La audiencia fue solicitada para manifestar preocupación de la situación de las cooperativas frente a la nueva legislación. Están tratando de reunirse con todos los senadores.,"Schlesinger, Denise; Jeldes, Siria; Silva, Rodrigo ; Mancilla, Lionel; Lagos Baquedano, Pedro Pablo; Dorfman, Natalio; Alt Hayal, Marcela",Foro Cooperativo
"Guillier Álvarez, Alejandro",2018-07-27,30,Oficina Parlamentaria Calama,Lineamientos de gestión territorial,"Carvacho, Ruth Alejandra",Cámara Chilena de la Construcción
"Prohens Espinosa, Rafael",2018-07-27,60,O´Higgins 61,Presentación de inquietudes y desafíos del gremio.,"castillo cortes, juan esteban",sindicato
"Huenchumilla Jaramillo, Francisco",2018-07-27,45,"dependencias aledañas del Hospital Makewe, camino Makewe Pelale Km 12 comuna Padre Las Casas",temas sobre la administración autónoma del Hospital Intercultural,"Chureo, Francisco; Ladino, Jose",Asociación Mapuche para la Salud Makewe Pelale
"Guillier Álvarez, Alejandro",2018-07-27,60,Oficina Parlamentaria Calama,Protocolar,"Carvacho, Ruth Alejandra",Cámara Chilena de la Construcción
"Galilea Vial, Rodrigo",2018-07-26,30,"Oficina Parlamentaria Talca, 2 Poniente 920",Transporte de la ciudad de Talca,"de la fuente vergara, jaime; araya roa, luis; bravo muñoz, osvaldo; contreras alarcón, adolfo",FEDERACIÓN DE TRANSPORTE DE PASAJEROS DE LA REGIÓN DEL MAULE
"Durana Semir, Jose Miguel",2018-07-26,90,Lastarria N°1569,"La empresa Samag Cl SpA entre otros rubros, se dedica a la extracción del agua de la atmósfera, básicamente capturando la humedad del aire que se procesa por medio de plantas modulares, derivando en la obtención de agua para la ejecución de procesos industriales y mineros. La ciudad es un lugar interesante para invertir, no sólo por su clima privilegiado, sino que también por su ubicación geográfica e incentivos especiales, por lo que existen posibilidades de instalarse con su entidad que ofrezca servicios a empresas mineras en funcionamiento en el país y a procesos industriales.","Kahmen, Fabian; STUTH, REINHARD; SAUR, MICHAEL",SAMAG CL SPA
"Harboe Bascuñán, Felipe",2018-07-26,30,Senado Santiago (Morandé 441),"Discutir propuestas en común para futuras modificaciones a la ley de control de armas. Jueves 26 de julio a las 11:30 horas, Senado Santiago.","Fabio Silvestri, Renzo Paolo; Ossandón, Pelayo; Muñoz Poshar, Felipe Alberto; Durán Pérez, Ricardo Enrique; Cerda Lecaros, Pedro Pablo; Pereira Lundberg, Felipe Andrés",UNIÓN NACIONAL DE DUEÑOS DE ARMAS DE FUEGO
"Durana Semir, Jose Miguel",2018-07-26,60,21 de Mayo N°101,"Los representantes de la Cámara Chilena de la Construcción de Arica proponen Corregir radicalmente el actual Plan Especial de Desarrollo de Zonas Extremas (PEDZE) para que genere verdadero crecimiento, trabajo y oportunidades para toda la región.","Baltolu Rasera, Nino; Barrera Reyes, Isis; Irarrazabal, Alberto; Manzanares, Erik; Bottai Jiménez, Patricio  9.041.695-2; Vasquez, Juan; Ventura, Fidel",Victor Morales Díaz
"Galilea Vial, Rodrigo",2018-07-25,30,"Oficina Parlamentaria Talca, 2 Poniente 920",Saludo Protocolar.  Situación VIH-SIDA Región del Maule - solicitud de apoyo proyectos institucionales,"Schlegel Sandoval, Ingrid; Diaz, Michael",Coordinadora Bacional de Atenciòn en VIH-Sida
"Harboe Bascuñán, Felipe",2018-07-25,30,Senado Santiago (Morandé 441),"Ciberseguridad. Miércoles 25 de julio a las 12:30 horas, Senado Santiago.","Ulloa, Rodrigo; Galilea Aranda, Hugo",Kepler S.A.
"Galilea Vial, Rodrigo",2018-07-24,25,"Oficina Parlamentaria Talca, 2 Poniente 920",Tema: Guatita de Delantal,"Miranda valenzuela, Carolina angelica ; Rojas Navarro, Karen; Jaramillo González, Ana María",13280350-1
"Pugh Olavarría, Kenneth",2018-07-24,240,Vicuña Mackena 3864 Universidad Tecnológica Inacap Sede Sur,"Exposición  Ciberseguridad.
Expositor Senador Kenneth Pugh","Molanphy, Sergio",ASOC CHIL DE AUDITRS Y PRFESNLS EN CONTROLES DE SISTEM DE INFORM A G
"Durana Semir, Jose Miguel",2018-07-23,30,Lastarria N°1569,"Proyecto FEGANOCH, nuevo patio de camiones y centro de comercialización mayorista para los agricultores.","Quispe Mamani, Wilson; Tangara Chanchari, Raquel; Tupa Huanca, Pamela; Mamani Ríos, Natalio; Cárdenas Santos, Juan; Cataldo Ayala, Osman",Federación Gremial de Agricultores Zona Norte
"Angelbeck Silva, Robert Patrick",2018-07-23,40,Oficina Congreso Nacional,"Estado y tramitación de los siguientes proyectos de ley:
Proyecto de Ley que crea Consejos de Pueblos Indígena y el Consejo Nacional indígena (Boletín 10.526-06)
Proyecto de Ley que crea el Ministerio Indígena (Boletín 10.687-06)","Pinto Guerra, Ana",
"Villadangos Wenger, María Angélica",2018-07-23,30,Oficina Senador Ex Congreso - Morandé 441,FUNDALURP,"Serrano Reyes, Gustavo Ignacio",Gustavo Serrano Reyes
"Villadangos Wenger, María Angélica",2018-07-23,30,Oficina Senador Ex Congreso - Morandé 441,dar a conocer la Fundación Montaña Chile,"Diaz Mondaca, Juan Alberto",Juan Díaz Mondaca
"Villadangos Wenger, María Angélica",2018-07-23,30,Oficina Senador Ex Congreso - Morandé 441,Problemática de Fonoaudiología FOPACH. Fonasa sólo tiene 5 códigos,"Pone Rodríguez, Johana",Johana Ponce Rodríguez
"Villadangos Wenger, María Angélica",2018-07-23,30,Oficina Senador Ex Congreso - Morandé 441,Problemática de Salud,"Araya González, Jaime",jaime Araya González
"Villadangos Wenger, María Angélica",2018-07-23,0,Oficina Senador Ex Congreso - Morandé 441,NO SE PRESENTA A LA AUDIENCIA SOLICITADA,"Garcia Almonacid, Sebastian Rodrigo",Sebastián García Almonacid
"Harboe Bascuñán, Felipe",2018-07-23,30,Senado Santiago,"Datos personales. Lunes 23 de julio a las 08:30 horas, Senado Santiago.","Magliona Markovitcth, Claudio; Kogl, Leif; Pinha, Paula",Netflix Inc.
"Huenchumilla Jaramillo, Francisco",2018-07-21,30,Temuco - Aldunate 920 2do. piso oficina 3,autoadminstración del Centro de Salud Mapuche de Galvarino,"Calvucoy Paillali, cristina; MILLALEN PAILLAL, JOSE",
"Elizalde Soto, Alvaro",2018-07-20,60,oficina parlamentaria 2 sur 889 1-A,Reunión con directiva Asociación de Enfermeras y Enfermeros hospital Regional de Talca y Servicio de salud del Maule-ASENF. Solicitan audiencia para expresar su preocupación sobre el Dictamen de Contraloría que dice relación con áreas de trabajo entre enfermeras y matronas.,"CAMPUSANO, JULIA DEL PILAR; aguilera, pamela; Bravo, Rodrigo; Cáceres Morales, Juan  Carlos",ASENF
"Allamand Zavala, Andrés",2018-07-20,30,Ex Congreso Nacional of. Senador Allamand,Se Reunió con el Senador Allamand  para proponer la utilización de las las vías exclusivas para el transporte privado de pasajeros,"GONZALEZ FAURE, MIGUEL ANGEL; Romanini, Enzo; YANGUAS MARTIN, JAIME",Fenabus
"Ossandón Irarrázabal, Manuel José",2018-07-19,45,Oficina Senador Ex Congreso - Morandé 441,Propuestas legislativas,"Garrido Mera, Francisco",Francisco Garrido Mera
"Pugh Olavarría, Kenneth",2018-07-19,90,Santiago,Tema Ciberseguridad,"Perez Arata , Miguel",Novared Chile SA
"García Huidobro Sanfuentes, Alejandro",2018-07-19,30,Rancagua oficina regional Hno Claudio 512,"Hospital Regional resoluciones contraloría, referente a grado de la dirección de servicio de salud.","baez muñoz, cynthia",Confederación Nacional de Trabajadores de la Salud
"Huenchumilla Jaramillo, Francisco",2018-07-19,30,Congreso Nacional - Morande 441,Se le señaló que debe recurrir  y canalizar su proyecto a través de compras públicas y/o otros medios de patrocinio.,"Olmos Cabezas, Claudio Omar",Claudio Olmos Cabezas
"Ossandón Irarrázabal, Manuel José",2018-07-19,45,Oficina Senador Ex Congreso - Morandé 441,Colectivo Ola Celeste,"Córdova, Tania; Vidal, Rosario",Tania Córdova
"Pizarro Soto, Jorge",2018-07-19,30,MORANDE 441. EX CONGRESO,Presentan su preocupación por la nueva norma que ha impulsado el Ministerio de Salud en relación a la función de las matronas frente a las enfermeras en el campo clínico.,"Roman Morra, Anita; Garcés Illanes, Carmen Gloria; Arévalo Leal, Paola",Colegio de Matronas A.G.
"Pizarro Soto, Jorge",2018-07-19,30,MORANDE 441. EX CONGRESO,Le presenta al Senador idea de Fundación que formaría en la región que abarcaría temas culturales.para potenciar la comunidad rural desde el turismo.,"García-Huidobro, Maria",Maria Soledad García-Huidobro
"Norero Urrutia, Javier",2018-07-19,45,Fiscalia Senado Valparaíso,Exponen caso particular.,"Aguilar Armijo, Daniela Andrea; Arias Pulgar, Isabel Carolina; Aguilar Armijo, Diego Ignacio",189276990
"Elizalde Soto, Alvaro",2018-07-19,60,oficina ex Congreso en Santiago,Propuesta reparación al exilio con demandas pendientes.,"Acuña, Dagoberto; Gallardo, Jorge; Opazo, Victor",Corporación Nacional de ex Exiliados Políticos de Chile
"Ossandón Irarrázabal, Manuel José",2018-07-18,45,Oficina Senador Congreso Valparaíso,EXPONER PROBLEMÁTICA DEL SERVICIO Y SOLUCIONES A CONFLICTOS,"Fernandez Erices, Carlos Enrique; González Fuentes, Jan Carlos",Carlos Enrique Fernandez Erices
"Ebensperger Orrego, Luz Eliana",2018-07-18,30,Oficina del Senado en  Valparaíso,Denuncia hechos sobre contratos de trabajo no cumplidos por un contratista de la Minera Collahuasi  Juniti Safety Solution,"Oyarzo Valdés, Paula",Paula Oyarzo Valdés
"Aravena Acuña, Carmen Gloria",2018-07-18,35,Senado Valparaiso,"Analisis Ley de Pesca, en lo relativo a la captura de la Jibia y la Ley Corta.","Foreman Cordova, Jaime; Zapata Monzalves, Luisa del Carmen; Morales Sandoval, Iván Antonio",SINDICATO DE TRABAJADORES DE EMPRESA CONGELADOS PACIFICO
"Elizalde Soto, Alvaro",2018-07-18,60,oficina Congreso en Valparaiso,Proyecto de captura de jibia.,"Vargas, Juan Carlos; Rubio, Victoria; Santana, Juan","Victoria Rubio, Dirigenta pesca artesanal"
"Prohens Espinosa, Rafael",2018-07-18,30,"Congreso Nacional, Piso 10",El solicitante no se presentó el día y hora agendada por el Senador.,"CHAVEZ, MAURICIO",MAURICIO CHAVEZ
"Quinteros Lara, Rabindranath",2018-07-18,15,Oficinas Senado,Saludo protocolar.,"Velasquez, Osciel; Bacigalupo, Hector",Sociedad Nacional de Pesca FG
"Latorre Riveros, Juan Ignacio",2018-07-16,60,Ex Congreso,Condiciones laborales de los psicopedagogos y cómo éstas se ven afectadas por distintos cuerpos legales.,"Martinez San Martin, Evelyn Soraya; Romero Troncoso, Andrea Paula",610-8
"Castro Prieto, Juan Enrique",2018-07-13,60,Sede Territorial Talca,"Gestionar en el municipio de Talca, colaboración con a lo menos 2 operaciones a las mujeres, al mes.","Miranda valenzuela, Carolina angelica",13280350-1
"Ordenes Neira, Ximena",2018-07-13,30,ex congreso,1,"Lopez Ferrada, Nicolas Roberto",Nicolas Roberto Lopez Ferrada
"Huenchumilla Jaramillo, Francisco",2018-07-13,40,Temuco - Aldunate 920 2do. piso oficina 3,Apoyo para la adquisición de subsidios de tierras.,"Quilaqueo, Oscar; Huenchupil Díaz, Sara",Comunidad Indigena Pangueco Grande Soto Lincoñir
"Ordenes Neira, Ximena",2018-07-13,30,ex congreso,1,"Perelló Massicot, Mauricio",Mauricio Perelló Massicot
"Huenchumilla Jaramillo, Francisco",2018-07-13,30,Temuco - Aldunate 920 2do. piso oficina 3,"Entregan carpeta con proyecto. Comentan sobre la promoción de funcionarios de Planta y contrata luego del retiro de funcionarios. Señalan que es una aspiración de los funcionarios la modernización institucional de la Inspección, existen incompatibilidades entre planta y contrata, funcionarios que no ascienden por tiempo y contratas con menor tiempo poseen las misma remuneraciones.","castillo, carmen; huichalaf, cesar",ASOCIACION FUNCIONARIOS DEL TRABAJO DE CHILE  ANFUNTCH  CONSEJO  CAUTIN
"Elizalde Soto, Alvaro",2018-07-12,60,oficina del sindicato en el colegio profesores Yumbel 248 Linares,Solicitan audiencia para exponer sobre los servicios mínimos y licitaciones Junaeb.,"Albornoz Tapia, Marta Luisa; Villalobos Avendaño, Jaqueline; agurto, Alejandrina; ortega, pamela",Sindicato Nacional Interempresas Manipuladoras de Alimentos Víctor Jara
"Villadangos Wenger, María Angélica",2018-07-12,30,Oficina Senador Ex Congreso - Morandé 441,NO SE PRESENTA A LA AUDIENCIA,"Honorato, Jose Miguel",Jose Miguel Honorato
"Pugh Olavarría, Kenneth",2018-07-12,30,OFICINA SENADO,No asiste a reunión programada,"Velasquez, Osciel; Bacigalupo, Hector",Sociedad Nacional de Pesca FG
"Guillier Álvarez, Alejandro",2018-07-12,30,"Bustamante 120, oficina 102",Cabotaje,"sandoval navarro, walter jaime",sindicato interempresas mar del sur
"Pugh Olavarría, Kenneth",2018-07-12,30,OFICINA SENADO,Presentación sobre ley de Cabotaje y normativa laboral,"Tejada Curti, Ricardo Mauricio",Asociación Nacional de Armadores A.G.
"Latorre Riveros, Juan Ignacio",2018-07-11,60,Congreso,No pago del bono BRP a determiandos profesores,"Ahumada rojas, Oscar fabian",Oscar ahumada
"Insulza Salinas, Jose Miguel",2018-07-11,30,of. valparaíso,Acompaña a padres de hijos y adolescentes transgénero,"Rodriguez, Eduardo; AMENABAR, MARIA JOSE",Fundación Renaciendo
"Coloma Correa, Juan Antonio",2018-07-10,15,"Oficina Senado ValparaÃ­so, piso 11","Se le presentará al senador el proyecto de plataforma de información sobre el proceso legislativo y el congreso orientado a la ciudadanía, con el propósito de fomentar la educación cívica, y recuperar el interés y confianza en la labor parlamentaria","Ampuero Saavedra, Ignacio Patricio; Canales Concha, Kevin Matías; Hernandez Robles, Rodrigo Javier",Ignacio Patricio Ampuero Saavedra
"Coloma Correa, Juan Antonio",2018-07-10,15,"Oficina Senado ValparaÃ­so, piso 11","Relevancia económica en el ámbito de mayor inclusión financiera del proyecto de ley de Bolsas de Productos, contenidas en el boletín N°9233-01","Bosler Braun, Christopher; Barros Montero, Cesar",Bolsa de Productos de Chile S.A.
"Guillier Álvarez, Alejandro",2018-07-10,30,Congreso Nacional,Cabotaje,"Bagnara Vivanco, Manuel Fernando",Armasur A.G.
"Harboe Bascuñán, Felipe",2018-07-10,30,Senado Valparaíso,"Eventuales modificaciones legales al interior de las Cooperativas. Martes 10 de julio a las 12:30 horas, Senado Valparaíso.","Mery Cámbara, José Tomás; Jeldes, Siria; Lagos Baquedano, Pedro Pablo; Radrigan Rubio, Mario",Foro Cooperativo
"Prohens Espinosa, Rafael",2018-07-10,60,"Ex Congreso Nacional. Morandé #441, piso 2",Presentación estado de avance Cardones-Polpaico,"KING PAREDES, LAURA EUGENIA; REBOLLEDO SAGREDO, MAURICIO ; GONZALEZ RODRIGUEZ , GUILLERMO",Interchile S.A
"Provoste Campillay, Yasna",2018-07-09,30,Ex Congreso Nacional,Proyecto de Ley de Consejo de las Artes Escénicas,"Achurra Díaz, Ingnacio; Jimenez Castro, Alejandra; Pérez Hernández, Claudia; Contador Valenzuela, Javiera",Plataforma de Artes Escénicas
"De Urresti Longton, Alfonso",2018-07-09,45,Oficina del senador en el ex Congreso Nacional,Reglamento establecimientos penitenciarios.,"muñoz amigo, juan carlos; troncoso gavilan, magaly; Oyarzun, Daniela",aASOCIACION DE PROFESIONALES TECNICOS Y ADMINISTRATIVOS DE GENDARMERIA
"García Huidobro Sanfuentes, Alejandro",2018-07-09,30,Rancagua oficina regional Hno Claudio 512,Necesidades que presenta la región en temas de ayuda a bomberos,"field, juan carlos",cuerpo de bomberos de rancagua
"Harboe Bascuñán, Felipe",2018-07-09,30,"Senado Santiago (Morandé 441). Serán recibidos por el abogado asesor, Sr. Sebastián Abarca","Indicaciones al proyecto que modifica la ley 20.423. Lunes 9 de julio a las 16:00 horas en el Senado en Santiago. Serán recibidos por el abogado asesor, Sr. Sebastián Abarca.","Cárcamo Mancilla, Alejandra; Ramos Guerrero, Jenny",Asociación Nacional de Funcionarios del Servicio Nacional de Turismo (ANFUS)
"Huenchumilla Jaramillo, Francisco",2018-07-09,30,Congreso Nacional - Morande 441,Presentación de la empresa y las actividades que realizan.,"Del Solar Agüero, Felipe; Napoli, Enzo",Extend Comunicaciones
"Huenchumilla Jaramillo, Francisco",2018-07-09,30,Congreso Nacional - Morande 441,Presentan su organización que representa aproximadamente a 60 empresas de gran tamaño. Entregan carta con observaciones al proyecto de reforma a la Ley 19.628,"Maulén Muñoz, Cristian Mauricio; Mohor Fuster, Elías; Benussi, Carlo",Asociación de Marketing Directo de Chile. A.G.
"Prohens Espinosa, Rafael",2018-07-09,45,"Ex Congreso Nacional. Morandé #441, piso 2",Los solicitantes no se presentaron el día y hora disponible por el Senador.,"AMENABAR, MARIA JOSE; Rodriguez, Eduardo",Fundación Renaciendo
"Lagos Weber, Ricardo",2018-07-09,600,"Ex Congreso Santiago, Oficina del Senador Ricardo Lagos Weber",Revisar Ley de Cabotaje,"Bagnara Vivanco, Manuel Fernando; Jonshon Cardenas, Jaime",Armasur A.G.
"Durana Semir, Jose Miguel",2018-07-06,20,Lastarria N°1569,"Proyecto edificios Chungará, temas sanitarios y socavones.","Alvarado, Cristian",Cristian Alvarado
"Durana Semir, Jose Miguel",2018-07-06,20,Lastarria N°1569,"Recursos PEDZE que fueron destinados a este comité, ahora existe un posible riesgo que se les arrebate.","alvarez olivares, marisol; Calle, Gricelda; Chambe, Judith; Cayo, Jessica",Marisol Álvarez
"Durana Semir, Jose Miguel",2018-07-06,20,Lastarria N°1569,Gestión caso social.,"Fredes, Erika",Erika Fredes
"Coloma Correa, Juan Antonio",2018-07-06,15,"Oficina Parlamentaria, 1 Oriente 755, Talca",SOLICITA APOYO A LEY EXPRES (ATE),"ALBORNOZ, sofia",instituto de capacitacion y desarrollo capacita ltda.
"Elizalde Soto, Alvaro",2018-07-06,60,oficina ex Congreso en Santiago,Gobierno corporativo ENAER y tema Litio,"Tapia Valderrama, Bernardo Enrrique",Directores ANEF
"Latorre Riveros, Juan Ignacio",2018-07-05,60,senado,"ATEs -  Es probable que esta \""Ley Corta\"" sobre las ATEs (Asistencia Tecnica Educativa)tenga pronto ingreso al Congreso y se inicie el proceso de tramitación Legislativa.","Del Fierro Ojeda, Paulina de los Angeles; Barahona Molina, Veronica Leonor",Paulina Del Fierro Ojeda
"Pugh Olavarría, Kenneth",2018-07-05,30,OFICINA SENADO,Saludo Protocolar,"Ramos Vilches, Gabriel Francisco",Gabriel Ramos Vilches
"Latorre Riveros, Juan Ignacio",2018-07-05,60,Senado,Problemas por falta de regulación y fiscalización medioambiental,"Contreras Vergara, Enrique",Fundación Mi Patrimonio
"Pugh Olavarría, Kenneth",2018-07-05,30,OFICINA SENADO,"No asiste, se reagenda","AMENABAR, MARIA JOSE; Rodriguez, Eduardo",Fundación Renaciendo
"Latorre Riveros, Juan Ignacio",2018-07-05,60,senado valparaiso,Se presentaron las inquietudes para el mejoramiento de las condiciones de trabajo para los trabajadores de los colegios particulares pagados. Fueron recibidos por el senador y su jefe de gabinete Diego Vela,"Valenzuela Cortés, florencio alejandro; Larrondo, René; Urriola, Wladimir",Federación Nacional de Sindicatos de Colegios Particulares
"Pugh Olavarría, Kenneth",2018-07-05,30,OFICINA SENADO,Saludo Protocolar y Presentación Proyecto Ferroviario,"GONZALEZ BARRA, ALVARO",TVS Concesiones Ferroviarias SpA
"Pizarro Soto, Jorge",2018-07-04,30,CONGRESO VALPARAÍSO,Se plantea el retraso de los compromisos asumidos. Se solicita apoyo,"Miranda Sepulveda, Luis Eduardo; Fernández Escudero, Bárbara; Sánchez Contreras, Jessica; Seco, Clarisa; Ibaceta, Pilar; Miqueles Fraga, Fabiola Adela; Gallardo, Clara; Gajardo, Kitty",federación
